CustomerID,I,Iu,Imax,Entropy,BasketNum,SumExp,AvgExp
12347.0,182,103,47,4.943568126655658,7,4310.0,615.7142857142857
12348.0,31,22,17,3.16399420988454,4,1797.24,449.31
12349.0,73,73,73,3.8974156920601097,1,1757.55,1757.55
12350.0,17,17,17,2.7722240151810267,1,334.4,334.4
12352.0,85,59,18,3.8508532248906864,8,2506.04,313.255
12353.0,4,4,4,1.2815916615382235,1,89.0,89.0
12354.0,58,58,58,3.9747359363521366,1,1079.4,1079.4
12355.0,13,13,13,2.3258475382036146,1,459.4,459.4
12356.0,59,53,36,3.728365837910279,3,2811.43,937.1433333333333
12358.0,19,13,12,2.603906697351096,2,1168.06,584.03
12359.0,248,214,105,5.167084009979416,4,6372.58,1593.145
12360.0,129,105,54,4.547260701193564,3,2662.06,887.3533333333334
12361.0,10,10,10,2.2894157260387282,1,189.9,189.9
12362.0,266,201,40,5.481750527169691,10,5226.23,522.6229999999999
12363.0,23,23,16,2.9758996673156988,2,552.0,276.0
12364.0,85,70,34,4.311546339557465,4,1313.1,328.275
12365.0,22,22,21,2.2021106234206274,2,641.38,320.69
12367.0,11,11,11,2.3388432890712654,1,168.9,168.9
12370.0,167,143,83,4.758946228598774,4,3545.6899999999996,886.4224999999999
12371.0,63,63,62,3.7270548788755784,2,1887.96,943.98
12372.0,52,34,20,3.7688754395228314,3,1298.04,432.68
12373.0,14,14,14,2.563714662063317,1,364.6,364.6
12374.0,33,33,33,3.2657065287897726,1,742.9300000000001,742.9300000000001
12375.0,17,14,11,2.695201251976264,2,457.5,228.75
12377.0,77,72,43,4.121555965143326,2,1628.12,814.06
12379.0,40,39,20,3.5646466101792553,2,852.24,426.12
12380.0,104,77,36,4.327776125245316,4,2724.8100000000004,681.2025000000001
12381.0,87,70,62,4.164022796644898,5,1845.31,369.062
12383.0,99,84,37,4.415138018982993,5,1850.56,370.11199999999997
12384.0,27,26,14,3.0924059026798356,2,585.27,292.635
12386.0,10,10,8,2.163574670281678,2,401.9,200.95
12388.0,100,57,35,4.442875389664711,6,2780.66,463.4433333333333
12390.0,32,32,32,3.3917213770443486,1,549.84,549.84
12391.0,100,92,100,4.151098308538109,1,460.89,460.89
12393.0,64,47,25,3.992367563995548,4,1582.6,395.65
12394.0,27,26,21,2.670459026286897,2,1272.48,636.24
12395.0,156,91,19,4.879389538781916,12,3018.63,251.5525
12397.0,126,110,70,4.640467642787932,2,2409.8999999999996,1204.9499999999998
12398.0,85,85,85,4.135481359459698,1,1635.6599999999999,1635.6599999999999
12399.0,59,47,22,3.958939174413223,4,1108.65,277.1625
12401.0,5,5,5,1.5698666072241763,1,84.3,84.3
12402.0,11,11,11,2.3424234005435696,1,225.6,225.6
12403.0,5,5,5,1.3441479121848456,1,427.7,427.7
12405.0,54,54,54,3.5915524108485233,1,1710.39,1710.39
12406.0,105,92,56,4.43931997488109,2,3415.3,1707.65
12407.0,77,57,33,4.128911943381856,5,1708.12,341.62399999999997
12408.0,105,81,32,4.3657878036438476,5,2888.55,577.71
12409.0,109,91,64,4.520313111662651,3,11072.67,3690.89
12410.0,26,26,22,2.971993417973004,2,693.3299999999999,346.66499999999996
12412.0,61,43,28,3.9374002671510064,3,1226.88,408.96000000000004
12413.0,38,29,24,3.52208997045632,3,758.1,252.70000000000002
12414.0,18,16,7,2.734717668826527,3,562.41,187.47
12417.0,192,158,35,5.123504658729916,9,3649.1,405.4555555555555
12418.0,34,34,34,3.28308634828581,1,668.58,668.58
12420.0,29,29,29,3.2764657357097766,1,600.39,600.39
12421.0,45,32,14,3.630789716378438,4,807.04,201.76
12422.0,39,39,18,3.467899035644509,3,803.56,267.8533333333333
12423.0,125,97,22,4.708711838093046,8,1859.31,232.41375
12424.0,30,30,23,2.971272462892525,2,1760.9600000000003,880.4800000000001
12425.0,36,36,36,3.4135068336433094,1,777.2,777.2
12426.0,30,30,30,3.274748798201571,1,582.73,582.73
12427.0,31,26,15,3.2589866409934043,3,825.8,275.26666666666665
12428.0,294,258,98,5.198162672225774,9,7956.46,884.0511111111111
12429.0,97,82,29,4.250444428759056,4,3750.4,937.6
12430.0,11,11,11,2.237153756492185,1,256.4,256.4
12431.0,235,163,37,4.929087309499074,15,6487.45,432.49666666666667
12432.0,108,107,62,4.096387100709902,5,5059.32,1011.8639999999999
12433.0,420,219,81,5.7525841796393475,7,13375.87,1910.8385714285716
12434.0,50,46,34,3.797624563428916,2,806.14,403.07
12435.0,36,31,19,3.427050757293154,2,7829.89,3914.945
12436.0,16,16,16,2.6142883784266546,1,509.01,509.01
12437.0,199,118,39,5.090458087731832,18,4951.41,275.0783333333333
12438.0,98,84,49,4.120988222894283,2,2906.85,1453.425
12441.0,11,11,11,2.368010028808105,1,173.55,173.55
12442.0,12,12,12,2.3512234894738677,1,172.06,172.06
12444.0,176,138,90,4.8017076783229875,5,5005.46,1001.092
12445.0,4,4,4,1.3011923196199486,1,133.4,133.4
12446.0,57,57,57,3.9848049329038893,1,1002.3100000000001,1002.3100000000001
12447.0,26,26,26,3.193214380869958,1,476.49,476.49
12448.0,22,22,22,2.7838294220268804,1,449.45,449.45
12449.0,191,118,59,5.034328999057766,4,4067.29,1016.8225
12450.0,8,7,6,1.8829040824242709,2,197.88,98.94
12451.0,354,265,101,5.634856468411385,5,9035.52,1807.104
12452.0,22,21,21,2.8572278651341656,2,430.57,215.285
12453.0,43,43,43,3.7168881854871936,1,707.09,707.09
12454.0,15,15,15,2.608151719900082,1,3528.34,3528.34
12455.0,90,85,41,4.231235288361031,6,2466.86,411.1433333333334
12456.0,125,105,45,4.390511315475051,3,3181.04,1060.3466666666666
12457.0,62,53,34,3.6644352064837964,7,2363.23,337.6042857142857
12458.0,38,35,19,3.4283717585579034,2,947.4000000000001,473.70000000000005
12461.0,35,35,34,3.0950092288295945,2,826.88,413.44
12462.0,62,51,40,3.8604182627212644,2,1189.5900000000001,594.7950000000001
12463.0,83,65,23,4.324240691390126,4,1344.78,336.195
12464.0,29,6,6,3.1878454190476697,8,1212.05,151.50625
12465.0,47,46,26,3.7793496035069305,2,742.19,371.095
12468.0,38,36,26,3.491418650646282,2,729.5400000000001,364.77000000000004
12472.0,339,219,80,5.603034071711601,7,6572.110000000001,938.8728571428572
12473.0,168,140,99,4.434021543373007,5,3938.55,787.71
12474.0,424,253,48,5.908020393617312,18,7375.79,409.7661111111111
12475.0,36,36,36,3.45337012815736,1,723.38,723.38
12476.0,233,177,59,5.180363568933626,11,6816.42,619.6745454545454
12477.0,300,191,90,5.312509487711071,6,13219.74,2203.29
12478.0,36,36,36,3.287260763391376,1,680.99,680.99
12479.0,31,31,31,3.3194815162047,1,527.2,527.2
12480.0,154,129,42,4.681025494077673,4,3281.63,820.4075
12481.0,217,150,48,5.146602066388079,10,5596.320000000001,559.6320000000001
12483.0,75,46,16,4.011262754440385,8,2484.98,310.6225
12484.0,346,256,122,5.432715167668305,6,4541.72,756.9533333333334
12488.0,55,46,27,3.811294346504995,3,1298.66,432.8866666666667
12489.0,15,15,15,2.635048894363489,1,334.93,334.93
12490.0,245,131,43,5.303310720309392,10,5417.93,541.793
12491.0,26,25,26,3.141592271585286,1,460.40000000000003,460.40000000000003
12492.0,20,19,11,2.9083563336102585,2,263.21000000000004,131.60500000000002
12493.0,22,20,12,3.0540047263891146,2,433.74,216.87
12494.0,77,63,21,4.24629110040217,7,1246.1000000000001,178.01428571428573
12497.0,14,14,14,2.4803510389182772,1,1043.1,1043.1
12498.0,23,21,13,3.0662076786173045,3,403.7,134.56666666666666
12500.0,61,34,11,3.4921158111111064,11,4257.82,387.07454545454544
12502.0,147,102,39,4.615619466117318,5,3723.87,744.774
12504.0,9,6,6,1.8586822355168244,2,482.04999999999995,241.02499999999998
12506.0,23,23,23,2.943975971071063,1,73.5,73.5
12507.0,21,19,13,2.72435012460033,3,1304.81,434.93666666666667
12508.0,69,57,52,3.96689035352373,2,398.27,199.135
12509.0,7,7,7,1.7014232506729254,1,176.5,176.5
12510.0,33,29,29,3.121012323564378,2,982.5699999999999,491.28499999999997
12512.0,34,31,32,3.3019631411549772,2,138.03,69.015
12513.0,35,35,35,3.4204079628640685,1,612.29,612.29
12514.0,51,51,51,3.8083796675530337,1,1017.68,1017.68
12515.0,16,16,16,2.5295161333607505,1,383.7,383.7
12516.0,26,20,13,3.0555817892651294,2,1312.06,656.03
12518.0,124,84,33,4.69800686828391,5,2056.89,411.378
12519.0,18,17,18,2.764833451406272,1,340.84,340.84
12520.0,152,121,60,4.85364269937218,5,2634.26,526.8520000000001
12521.0,38,38,38,3.5163958942130105,1,599.68,599.68
12522.0,12,11,6,2.4423811113214824,2,192.72,96.36
12523.0,106,84,14,4.617508389382293,11,1789.77,162.70636363636365
12524.0,144,113,33,4.567322405687036,8,4485.719999999999,560.7149999999999
12526.0,71,64,29,4.181577126644122,3,1316.6599999999999,438.8866666666666
12527.0,18,18,10,2.685646659593973,3,348.71000000000004,116.23666666666668
12528.0,92,50,31,4.3874622260713325,6,1933.48,322.24666666666667
12530.0,66,51,20,3.991006712684065,4,1662.28,415.57
12531.0,17,17,17,2.5294845455240274,1,125.22,125.22
12532.0,16,16,16,2.6872340995500115,1,349.83000000000004,349.83000000000004
12534.0,63,63,63,3.98100161766254,1,1089.18,1089.18
12535.0,34,28,18,3.4481100337919104,2,716.3499999999999,358.17499999999995
12538.0,21,21,21,2.968421943160347,1,363.95,363.95
12539.0,273,157,93,5.413882102590611,4,5568.35,1392.0875
12540.0,478,277,47,5.82728589242278,17,13400.24,788.2494117647059
12541.0,52,46,24,3.7929755812978296,3,981.18,327.06
12544.0,19,19,19,2.8435178505718888,1,372.7,372.7
12545.0,50,42,34,3.7452233913431736,2,1000.39,500.195
12546.0,69,59,45,4.114929701205905,2,1161.5,580.75
12547.0,8,7,6,2.064638486385549,2,207.8,103.9
12548.0,5,5,5,1.5829733864806381,1,95.19999999999999,95.19999999999999
12550.0,57,57,57,3.7758028640858914,1,964.83,964.83
12551.0,10,10,10,2.2856239369953952,1,168.0,168.0
12552.0,20,20,19,2.686820266784962,2,437.82,218.91
12553.0,191,95,38,5.118195672994635,10,3692.2799999999997,369.22799999999995
12556.0,121,100,67,4.54703565864665,2,603.71,301.855
12557.0,33,15,15,2.9113820620503432,5,11990.960000000001,2398.192
12558.0,11,11,11,2.0563402086935603,1,269.96,269.96
12559.0,21,21,20,2.7405362296172653,2,561.71,280.855
